v1,v2,v3
1,0.11633E+01,-0.12879E+01
10,0.14043E+01,-0.16295E+01
20,0.13370E+01,-0.16592E+01
30,0.11577E+01,-0.16941E+01
40,0.91008E+00,-0.16438E+01
50,0.74356E+00,-0.15054E+01
60,0.67201E+00,-0.13769E+01
70,0.64044E+00,-0.12805E+01
80,0.56425E+00,-0.11718E+01
90,0.47985E+00,-0.11244E+01
100,0.42798E+00,-0.10946E+01
110,0.40982E+00,-0.10157E+01
120,0.23132E+00,-0.64869E+00
130,0.21740E+00,-0.60432E+00
140,0.12619E+00,-0.45391E+00
150,0.88286E-01,-0.40701E+00
160,0.83043E-01,-0.39846E+00
170,0.82022E-01,-0.41898E+00
180,0.90747E-01,-0.45748E+00
190,0.93197E-01,-0.46263E+00
200,0.10255E+00,-0.49609E+00
210,0.10767E+00,-0.51983E+00
220,0.10931E+00,-0.52304E+00
230,0.11011E+00,-0.53460E+00
240,0.10880E+00,-0.54014E+00
250,0.10958E+00,-0.54123E+00
260,0.10689E+00,-0.54161E+00
270,0.10449E+00,-0.54237E+00
280,0.10489E+00,-0.54245E+00
290,0.10324E+00,-0.54343E+00
300,0.10264E+00,-0.54612E+00
310,0.10307E+00,-0.54629E+00
320,0.10305E+00,-0.54892E+00
330,0.10372E+00,-0.55215E+00
340,0.10411E+00,-0.55217E+00
350,0.10516E+00,-0.55489E+00
360,0.10669E+00,-0.55789E+00
370,0.10708E+00,-0.55783E+00
380,0.10886E+00,-0.56063E+00
390,0.11085E+00,-0.56348E+00
400,0.11121E+00,-0.56342E+00
410,0.11327E+00,-0.56611E+00
420,0.11521E+00,-0.56841E+00
430,0.11553E+00,-0.56832E+00
440,0.11748E+00,-0.57048E+00
450,0.11923E+00,-0.57217E+00
460,0.11955E+00,-0.57217E+00
470,0.12113E+00,-0.57356E+00
480,0.12249E+00,-0.57461E+00
490,0.12274E+00,-0.57455E+00
500,0.12382E+00,-0.57511E+00
510,0.12459E+00,-0.57527E+00
520,0.12479E+00,-0.57519E+00
530,0.12537E+00,-0.57507E+00
540,0.12564E+00,-0.57460E+00
550,0.12577E+00,-0.57449E+00
560,0.12591E+00,-0.57380E+00
570,0.12584E+00,-0.57294E+00
580,0.12593E+00,-0.57280E+00
590,0.12587E+00,-0.57198E+00
600,0.12571E+00,-0.57117E+00
610,0.12579E+00,-0.57105E+00
620,0.12585E+00,-0.57096E+00
630,0.12565E+00,-0.57034E+00
640,0.12572E+00,-0.57019E+00
650,0.12562E+00,-0.56964E+00
660,0.12551E+00,-0.56911E+00
670,0.12561E+00,-0.56903E+00
680,0.12555E+00,-0.56857E+00
690,0.12553E+00,-0.56827E+00
700,0.12565E+00,-0.56823E+00
710,0.12569E+00,-0.56797E+00
720,0.12579E+00,-0.56784E+00
730,0.12591E+00,-0.56780E+00
740,0.12601E+00,-0.56762E+00
750,0.12610E+00,-0.56745E+00
760,0.12622E+00,-0.56742E+00
770,0.12630E+00,-0.56718E+00
780,0.12632E+00,-0.56687E+00
790,0.12642E+00,-0.56681E+00
800,0.12642E+00,-0.56641E+00
810,0.12634E+00,-0.56593E+00
820,0.12643E+00,-0.56588E+00
830,0.12631E+00,-0.56528E+00
840,0.12612E+00,-0.56464E+00
850,0.12618E+00,-0.56455E+00
860,0.12600E+00,-0.56387E+00
870,0.12573E+00,-0.56310E+00
880,0.12581E+00,-0.56305E+00
890,0.12552E+00,-0.56224E+00
900,0.12521E+00,-0.56144E+00
910,0.12526E+00,-0.56135E+00
920,0.12499E+00,-0.56058E+00
930,0.12468E+00,-0.55979E+00
940,0.12475E+00,-0.55973E+00
950,0.12446E+00,-0.55895E+00
960,0.12417E+00,-0.55818E+00
970,0.12421E+00,-0.55809E+00
980,0.12396E+00,-0.55736E+00
990,0.12368E+00,-0.55663E+00
1000,0.12373E+00,-0.55655E+00
1010,0.12349E+00,-0.55589E+00
1020,0.12324E+00,-0.55523E+00
1030,0.12329E+00,-0.55516E+00
1040,0.12306E+00,-0.55454E+00
1050,0.12283E+00,-0.55395E+00
1060,0.12287E+00,-0.55387E+00
1070,0.12267E+00,-0.55334E+00
1080,0.12243E+00,-0.55278E+00
1090,0.12247E+00,-0.55273E+00
1100,0.12225E+00,-0.55223E+00
1110,0.12204E+00,-0.55172E+00
1120,0.12207E+00,-0.55168E+00
1130,0.98102E-01,-0.49827E+00
1140,0.11088E+00,-0.52881E+00
1150,0.11408E+00,-0.53701E+00
1160,0.12006E+00,-0.55095E+00
1170,0.12127E+00,-0.55472E+00
1180,0.12154E+00,-0.55517E+00
1190,0.12077E+00,-0.55493E+00
1200,0.11988E+00,-0.55388E+00
1210,0.11981E+00,-0.55371E+00
1220,0.11909E+00,-0.55251E+00
1230,0.11849E+00,-0.55140E+00
1240,0.11847E+00,-0.55126E+00
1250,0.11804E+00,-0.55030E+00
1260,0.11767E+00,-0.54942E+00
1270,0.11766E+00,-0.54931E+00
1280,0.11739E+00,-0.54861E+00
1290,0.11715E+00,-0.54800E+00
1300,0.11717E+00,-0.54791E+00
1310,0.11695E+00,-0.54740E+00
1320,0.11676E+00,-0.54695E+00
1330,0.11678E+00,-0.54689E+00
1340,0.11661E+00,-0.54650E+00
1350,0.11643E+00,-0.54613E+00
1360,0.11645E+00,-0.54609E+00
1370,0.11631E+00,-0.54577E+00
1380,0.11618E+00,-0.54551E+00
1390,0.11620E+00,-0.54546E+00
1400,0.11607E+00,-0.54520E+00
1410,0.11594E+00,-0.54495E+00
1420,0.11595E+00,-0.54492E+00
1430,0.11584E+00,-0.54471E+00
1440,0.11572E+00,-0.54451E+00
1450,0.11573E+00,-0.54450E+00
1460,0.11561E+00,-0.54427E+00
1470,0.11550E+00,-0.54409E+00
1480,0.11551E+00,-0.54405E+00
1490,0.11539E+00,-0.54385E+00
1500,0.11528E+00,-0.54368E+00
1510,0.11530E+00,-0.54367E+00
1520,0.11516E+00,-0.54347E+00
1530,0.11505E+00,-0.54329E+00
1540,0.11506E+00,-0.54327E+00
1550,0.11495E+00,-0.54308E+00
1560,0.11481E+00,-0.54291E+00
1570,0.11483E+00,-0.54290E+00
1580,0.11471E+00,-0.54272E+00
1590,0.11459E+00,-0.54255E+00
1600,0.11458E+00,-0.54251E+00
1610,0.11448E+00,-0.54236E+00
1620,0.11435E+00,-0.54217E+00
1630,0.11436E+00,-0.54215E+00
1640,0.11736E+00,-0.54920E+00
1650,0.11615E+00,-0.54640E+00
1660,0.11596E+00,-0.54597E+00
1670,0.11518E+00,-0.54402E+00
1680,0.11480E+00,-0.54313E+00
1690,0.11478E+00,-0.54303E+00
1700,0.11467E+00,-0.54278E+00
1710,0.11461E+00,-0.54269E+00
1720,0.11463E+00,-0.54269E+00
1730,0.11462E+00,-0.54273E+00
1740,0.11458E+00,-0.54274E+00
1750,0.11460E+00,-0.54274E+00
1760,0.11456E+00,-0.54275E+00
1770,0.11450E+00,-0.54271E+00
1780,0.11451E+00,-0.54271E+00
1790,0.11445E+00,-0.54264E+00
1800,0.11439E+00,-0.54257E+00
1810,0.11440E+00,-0.54259E+00
1820,0.11432E+00,-0.54251E+00
1830,0.11424E+00,-0.54242E+00
1840,0.11425E+00,-0.54241E+00
1850,0.11417E+00,-0.54230E+00
1860,0.11410E+00,-0.54222E+00
1870,0.11410E+00,-0.54221E+00
1880,0.11403E+00,-0.54212E+00
1890,0.11395E+00,-0.54203E+00
1900,0.11395E+00,-0.54203E+00
1910,0.11387E+00,-0.54191E+00
1920,0.11380E+00,-0.54185E+00
1930,0.11380E+00,-0.54183E+00
1940,0.11373E+00,-0.54175E+00
1950,0.11364E+00,-0.54165E+00
1960,0.11364E+00,-0.54164E+00
1970,0.11356E+00,-0.54153E+00
1980,0.11349E+00,-0.54148E+00
1990,0.11348E+00,-0.54146E+00
2000,0.11342E+00,-0.54138E+00
2010,0.11334E+00,-0.54130E+00
2020,0.11334E+00,-0.54129E+00
2030,0.11327E+00,-0.54121E+00
2040,0.11319E+00,-0.54111E+00
2050,0.11319E+00,-0.54110E+00
2060,0.11313E+00,-0.54104E+00
2070,0.11306E+00,-0.54096E+00
2080,0.11306E+00,-0.54095E+00
2090,0.11301E+00,-0.54091E+00
2100,0.11293E+00,-0.54083E+00
2110,0.11293E+00,-0.54082E+00
2120,0.11288E+00,-0.54077E+00
2130,0.11280E+00,-0.54070E+00
2140,0.11280E+00,-0.54068E+00
2150,0.11298E+00,-0.54114E+00
2160,0.11288E+00,-0.54100E+00
2170,0.11290E+00,-0.54100E+00
2180,0.11280E+00,-0.54083E+00
2190,0.11271E+00,-0.54072E+00
2200,0.11272E+00,-0.54071E+00
2210,0.11267E+00,-0.54066E+00
2220,0.11262E+00,-0.54064E+00
2230,0.11263E+00,-0.54064E+00
2240,0.11258E+00,-0.54061E+00
2250,0.11254E+00,-0.54059E+00
2260,0.11254E+00,-0.54057E+00
2270,0.11250E+00,-0.54053E+00
2280,0.11244E+00,-0.54051E+00
2290,0.11246E+00,-0.54052E+00
2300,0.11241E+00,-0.54050E+00
2310,0.11236E+00,-0.54047E+00
2320,0.11236E+00,-0.54046E+00
2330,0.11233E+00,-0.54044E+00
2340,0.11227E+00,-0.54039E+00
2350,0.11228E+00,-0.54040E+00
2360,0.11224E+00,-0.54039E+00
2370,0.11219E+00,-0.54035E+00
2380,0.11220E+00,-0.54036E+00
2390,0.11216E+00,-0.54033E+00
2400,0.11212E+00,-0.54032E+00
2410,0.11212E+00,-0.54032E+00
2420,0.11210E+00,-0.54032E+00
2430,0.11204E+00,-0.54028E+00
2440,0.11205E+00,-0.54028E+00
2450,0.11202E+00,-0.54028E+00
2460,0.11197E+00,-0.54025E+00
2470,0.11197E+00,-0.54024E+00
2480,0.11196E+00,-0.54026E+00
2490,0.11191E+00,-0.54022E+00
2500,0.11190E+00,-0.54021E+00
2510,0.11188E+00,-0.54022E+00
2520,0.11184E+00,-0.54019E+00
2530,0.11184E+00,-0.54019E+00
2540,0.11182E+00,-0.54021E+00
2550,0.11178E+00,-0.54017E+00
2560,0.11178E+00,-0.54017E+00
2570,0.11176E+00,-0.54018E+00
2580,0.11172E+00,-0.54015E+00
2590,0.11172E+00,-0.54015E+00
2600,0.11171E+00,-0.54018E+00
2610,0.11168E+00,-0.54015E+00
2620,0.11167E+00,-0.54014E+00
2630,0.11165E+00,-0.54015E+00
2640,0.11161E+00,-0.54014E+00
2650,0.11161E+00,-0.54014E+00
2660,0.11161E+00,-0.54016E+00
2670,0.11161E+00,-0.54020E+00
2680,0.11162E+00,-0.54021E+00
2690,0.11161E+00,-0.54023E+00
2700,0.11158E+00,-0.54020E+00
2710,0.11158E+00,-0.54022E+00
2720,0.11157E+00,-0.54021E+00
2730,0.11152E+00,-0.54020E+00
2740,0.11151E+00,-0.54018E+00
2750,0.11151E+00,-0.54020E+00
2760,0.11150E+00,-0.54024E+00
2770,0.11150E+00,-0.54023E+00
2780,0.11146E+00,-0.54021E+00
2790,0.11144E+00,-0.54020E+00
2800,0.11144E+00,-0.54021E+00
2810,0.11143E+00,-0.54021E+00
2820,0.11141E+00,-0.54020E+00
2830,0.11142E+00,-0.54025E+00
2840,0.11138E+00,-0.54021E+00
2850,0.11139E+00,-0.54024E+00
2860,0.11138E+00,-0.54024E+00
2870,0.11135E+00,-0.54023E+00
2880,0.11135E+00,-0.54022E+00
2890,0.11134E+00,-0.54023E+00
2900,0.11131E+00,-0.54022E+00
2910,0.11130E+00,-0.54023E+00
2920,0.11131E+00,-0.54024E+00
2930,0.11129E+00,-0.54024E+00
2940,0.11127E+00,-0.54024E+00
2950,0.11127E+00,-0.54024E+00
2960,0.11126E+00,-0.54026E+00
2970,0.11124E+00,-0.54027E+00
2980,0.11122E+00,-0.54024E+00
2990,0.11124E+00,-0.54027E+00
3000,0.11122E+00,-0.54028E+00
3010,0.11122E+00,-0.54027E+00
3020,0.11120E+00,-0.54026E+00
3030,0.11119E+00,-0.54029E+00
3040,0.11118E+00,-0.54026E+00
3050,0.11119E+00,-0.54029E+00
3060,0.11117E+00,-0.54028E+00
3070,0.11116E+00,-0.54029E+00
3080,0.11117E+00,-0.54032E+00
3090,0.11116E+00,-0.54033E+00
3100,0.11114E+00,-0.54029E+00
3110,0.11114E+00,-0.54032E+00
3120,0.11111E+00,-0.54031E+00
3130,0.11110E+00,-0.54029E+00
3140,0.11112E+00,-0.54033E+00
3150,0.11109E+00,-0.54033E+00
3160,0.11109E+00,-0.54030E+00
