v1,v2,v3
1,0.38220E+00,-0.43724E-01
10,0.43759E+00,-0.63765E-01
20,0.30521E+00,-0.58390E-01
30,0.22277E+00,-0.61382E-01
40,0.18258E+00,-0.57654E-01
50,0.15330E+00,-0.57797E-01
60,0.13635E+00,-0.57344E-01
70,0.12651E+00,-0.54875E-01
80,0.11968E+00,-0.53978E-01
90,0.11346E+00,-0.54169E-01
100,0.10820E+00,-0.56124E-01
110,0.10560E+00,-0.55208E-01
120,0.10448E+00,-0.51154E-01
130,0.10323E+00,-0.49364E-01
140,0.10224E+00,-0.49949E-01
150,0.10180E+00,-0.53472E-01
160,0.10120E+00,-0.57382E-01
170,0.10028E+00,-0.59564E-01
180,0.99464E-01,-0.60774E-01
190,0.99076E-01,-0.62927E-01
200,0.99147E-01,-0.66678E-01
210,0.99286E-01,-0.70705E-01
220,0.99369E-01,-0.72670E-01
230,0.99451E-01,-0.72308E-01
240,0.99548E-01,-0.71117E-01
250,0.99687E-01,-0.70039E-01
260,0.99895E-01,-0.69538E-01
270,0.10016E+00,-0.70254E-01
280,0.10043E+00,-0.71521E-01
290,0.10066E+00,-0.72418E-01
300,0.10080E+00,-0.72654E-01
310,0.10087E+00,-0.72745E-01
320,0.10089E+00,-0.73006E-01
330,0.10088E+00,-0.73125E-01
340,0.10088E+00,-0.72909E-01
350,0.10085E+00,-0.72635E-01
360,0.10074E+00,-0.72462E-01
370,0.10053E+00,-0.72364E-01
380,0.10030E+00,-0.72348E-01
390,0.10011E+00,-0.72440E-01
400,0.99962E-01,-0.72635E-01
410,0.99809E-01,-0.72843E-01
420,0.99632E-01,-0.72980E-01
430,0.99440E-01,-0.73006E-01
440,0.99255E-01,-0.72953E-01
450,0.99078E-01,-0.72885E-01
460,0.98896E-01,-0.72860E-01
470,0.98714E-01,-0.72888E-01
480,0.98533E-01,-0.72926E-01
490,0.98361E-01,-0.72926E-01
500,0.98192E-01,-0.72893E-01
510,0.98026E-01,-0.72878E-01
520,0.97865E-01,-0.72893E-01
530,0.97707E-01,-0.72912E-01
540,0.97551E-01,-0.72908E-01
550,0.97394E-01,-0.72889E-01
560,0.97243E-01,-0.72876E-01
570,0.97099E-01,-0.72878E-01
580,0.96957E-01,-0.72881E-01
590,0.96819E-01,-0.72880E-01
600,0.96682E-01,-0.72876E-01
610,0.96548E-01,-0.72875E-01
620,0.96420E-01,-0.72879E-01
630,0.96294E-01,-0.72888E-01
640,0.96169E-01,-0.72895E-01
650,0.96043E-01,-0.72899E-01
660,0.95918E-01,-0.72900E-01
670,0.95798E-01,-0.72899E-01
680,0.95678E-01,-0.72899E-01
690,0.95561E-01,-0.72899E-01
700,0.95443E-01,-0.72900E-01
710,0.95327E-01,-0.72900E-01
720,0.95214E-01,-0.72899E-01
730,0.95104E-01,-0.72899E-01
740,0.95000E-01,-0.72899E-01
750,0.94897E-01,-0.72898E-01
760,0.94791E-01,-0.72895E-01
770,0.94687E-01,-0.72890E-01
780,0.94584E-01,-0.72885E-01
790,0.94485E-01,-0.72879E-01
800,0.94388E-01,-0.72872E-01
810,0.94291E-01,-0.72869E-01
820,0.94198E-01,-0.72865E-01
830,0.94102E-01,-0.72860E-01
840,0.94010E-01,-0.72856E-01
850,0.93917E-01,-0.72852E-01
860,0.93827E-01,-0.72847E-01
870,0.93737E-01,-0.72840E-01
880,0.93646E-01,-0.72834E-01
890,0.93556E-01,-0.72828E-01
900,0.93469E-01,-0.72824E-01
910,0.93384E-01,-0.72819E-01
920,0.93300E-01,-0.72814E-01
930,0.93216E-01,-0.72809E-01
940,0.93136E-01,-0.72805E-01
950,0.93054E-01,-0.72800E-01
960,0.92977E-01,-0.72795E-01
970,0.92900E-01,-0.72791E-01
980,0.92826E-01,-0.72786E-01
990,0.92752E-01,-0.72782E-01
1000,0.92681E-01,-0.72778E-01
1010,0.92613E-01,-0.72774E-01
1020,0.92544E-01,-0.72772E-01
1030,0.92476E-01,-0.72767E-01
1040,0.92408E-01,-0.72761E-01
1050,0.92341E-01,-0.72756E-01
1060,0.92274E-01,-0.72751E-01
1070,0.92208E-01,-0.72746E-01
1080,0.92142E-01,-0.72740E-01
1090,0.92078E-01,-0.72734E-01
1100,0.92016E-01,-0.72729E-01
1110,0.91954E-01,-0.72726E-01
1120,0.91895E-01,-0.72722E-01
1130,0.91836E-01,-0.72718E-01
1140,0.91777E-01,-0.72714E-01
1150,0.91720E-01,-0.72709E-01
1160,0.91663E-01,-0.72706E-01
1170,0.91609E-01,-0.72703E-01
1180,0.91553E-01,-0.72699E-01
1190,0.91498E-01,-0.72696E-01
1200,0.91443E-01,-0.72692E-01
