v1,v2,v3
1,0.40061E+00,-0.26362E-01
10,0.50730E+00,-0.35467E-01
20,0.38966E+00,-0.30867E-01
30,0.31147E+00,-0.31417E-01
40,0.26094E+00,-0.28002E-01
50,0.21916E+00,-0.26329E-01
60,0.19584E+00,-0.26993E-01
70,0.18173E+00,-0.24724E-01
80,0.16817E+00,-0.23947E-01
90,0.15534E+00,-0.24006E-01
100,0.14596E+00,-0.25405E-01
110,0.14096E+00,-0.25806E-01
120,0.13825E+00,-0.25493E-01
130,0.13648E+00,-0.25865E-01
140,0.13551E+00,-0.26938E-01
150,0.13471E+00,-0.28965E-01
160,0.13348E+00,-0.31857E-01
170,0.13215E+00,-0.35124E-01
180,0.13106E+00,-0.37621E-01
190,0.13045E+00,-0.38836E-01
200,0.13050E+00,-0.38863E-01
210,0.13082E+00,-0.37675E-01
220,0.13120E+00,-0.36381E-01
230,0.13176E+00,-0.36473E-01
240,0.13231E+00,-0.37299E-01
250,0.13265E+00,-0.37464E-01
260,0.13276E+00,-0.36726E-01
270,0.13280E+00,-0.35987E-01
280,0.13285E+00,-0.35943E-01
290,0.13291E+00,-0.36332E-01
300,0.13302E+00,-0.36811E-01
310,0.13318E+00,-0.37389E-01
320,0.13337E+00,-0.37967E-01
330,0.13357E+00,-0.38337E-01
340,0.13373E+00,-0.38505E-01
350,0.13378E+00,-0.38636E-01
360,0.13369E+00,-0.38742E-01
370,0.13351E+00,-0.38770E-01
380,0.13330E+00,-0.38769E-01
390,0.13308E+00,-0.38811E-01
400,0.13290E+00,-0.38901E-01
410,0.13271E+00,-0.39002E-01
420,0.13248E+00,-0.39090E-01
430,0.13223E+00,-0.39167E-01
440,0.13197E+00,-0.39230E-01
450,0.13175E+00,-0.39289E-01
460,0.13158E+00,-0.39337E-01
470,0.13144E+00,-0.39353E-01
480,0.13131E+00,-0.39331E-01
490,0.13116E+00,-0.39290E-01
500,0.13099E+00,-0.39252E-01
510,0.13083E+00,-0.39237E-01
520,0.13067E+00,-0.39244E-01
530,0.13052E+00,-0.39263E-01
540,0.13037E+00,-0.39280E-01
550,0.13021E+00,-0.39290E-01
560,0.13006E+00,-0.39292E-01
570,0.12990E+00,-0.39289E-01
580,0.12975E+00,-0.39282E-01
590,0.12961E+00,-0.39279E-01
600,0.12948E+00,-0.39278E-01
610,0.12936E+00,-0.39275E-01
620,0.12925E+00,-0.39261E-01
630,0.12914E+00,-0.39239E-01
640,0.12904E+00,-0.39218E-01
650,0.12894E+00,-0.39202E-01
660,0.12884E+00,-0.39190E-01
670,0.12874E+00,-0.39178E-01
680,0.12863E+00,-0.39165E-01
690,0.12852E+00,-0.39153E-01
700,0.12840E+00,-0.39143E-01
710,0.12827E+00,-0.39135E-01
720,0.12815E+00,-0.39130E-01
730,0.12803E+00,-0.39127E-01
740,0.12791E+00,-0.39125E-01
750,0.12779E+00,-0.39123E-01
760,0.12768E+00,-0.39122E-01
770,0.12757E+00,-0.39121E-01
780,0.12746E+00,-0.39123E-01
790,0.12736E+00,-0.39125E-01
800,0.12726E+00,-0.39128E-01
810,0.12717E+00,-0.39134E-01
820,0.12708E+00,-0.39139E-01
830,0.12699E+00,-0.39147E-01
840,0.12690E+00,-0.39154E-01
850,0.12681E+00,-0.39161E-01
860,0.12672E+00,-0.39168E-01
870,0.12663E+00,-0.39174E-01
880,0.12653E+00,-0.39180E-01
890,0.12645E+00,-0.39186E-01
900,0.12636E+00,-0.39192E-01
910,0.12627E+00,-0.39198E-01
920,0.12619E+00,-0.39203E-01
930,0.12610E+00,-0.39209E-01
940,0.12602E+00,-0.39216E-01
950,0.12593E+00,-0.39222E-01
960,0.12585E+00,-0.39230E-01
970,0.12577E+00,-0.39236E-01
980,0.12568E+00,-0.39243E-01
990,0.12560E+00,-0.39249E-01
1000,0.12551E+00,-0.39255E-01
1010,0.12542E+00,-0.39261E-01
1020,0.12534E+00,-0.39267E-01
1030,0.12525E+00,-0.39274E-01
1040,0.12517E+00,-0.39280E-01
1050,0.12509E+00,-0.39287E-01
1060,0.12501E+00,-0.39294E-01
1070,0.12493E+00,-0.39301E-01
1080,0.12485E+00,-0.39307E-01
1090,0.12477E+00,-0.39314E-01
1100,0.12469E+00,-0.39321E-01
1110,0.12461E+00,-0.39328E-01
1120,0.12453E+00,-0.39334E-01
1130,0.12446E+00,-0.39341E-01
1140,0.12438E+00,-0.39348E-01
1150,0.12431E+00,-0.39355E-01
1160,0.12423E+00,-0.39361E-01
1170,0.12416E+00,-0.39367E-01
1180,0.12408E+00,-0.39373E-01
1190,0.12401E+00,-0.39379E-01
1200,0.12394E+00,-0.39385E-01
1210,0.12386E+00,-0.39391E-01
1220,0.12379E+00,-0.39397E-01
1230,0.12372E+00,-0.39402E-01
1240,0.12365E+00,-0.39408E-01
1250,0.12357E+00,-0.39413E-01
1260,0.12350E+00,-0.39418E-01
1270,0.12343E+00,-0.39423E-01
1280,0.12337E+00,-0.39428E-01
1290,0.12330E+00,-0.39432E-01
1300,0.12323E+00,-0.39437E-01
1310,0.12316E+00,-0.39442E-01
1320,0.12309E+00,-0.39446E-01
1330,0.12302E+00,-0.39450E-01
1340,0.12295E+00,-0.39454E-01
1350,0.12288E+00,-0.39457E-01
1360,0.12281E+00,-0.39461E-01
1370,0.12274E+00,-0.39464E-01
1380,0.12267E+00,-0.39467E-01
1390,0.12261E+00,-0.39470E-01
1400,0.12254E+00,-0.39473E-01
1410,0.12248E+00,-0.39476E-01
1420,0.12241E+00,-0.39479E-01
1430,0.12234E+00,-0.39481E-01
1440,0.12228E+00,-0.39483E-01
1450,0.12221E+00,-0.39486E-01
1460,0.12215E+00,-0.39489E-01
1470,0.12209E+00,-0.39491E-01
1480,0.12202E+00,-0.39493E-01
1490,0.12196E+00,-0.39495E-01
1500,0.12190E+00,-0.39496E-01
1510,0.12184E+00,-0.39498E-01
1520,0.12178E+00,-0.39500E-01
1530,0.12172E+00,-0.39503E-01
1540,0.12166E+00,-0.39505E-01
1550,0.12160E+00,-0.39507E-01
1560,0.12154E+00,-0.39509E-01
1570,0.12148E+00,-0.39511E-01
1580,0.12142E+00,-0.39512E-01
1590,0.12137E+00,-0.39514E-01
1600,0.12131E+00,-0.39515E-01
1610,0.12125E+00,-0.39517E-01
1620,0.12120E+00,-0.39518E-01
1630,0.12114E+00,-0.39520E-01
1640,0.12109E+00,-0.39521E-01
1650,0.12104E+00,-0.39522E-01
1660,0.12098E+00,-0.39524E-01
1670,0.12093E+00,-0.39525E-01
1680,0.12088E+00,-0.39526E-01
1690,0.12083E+00,-0.39528E-01
1700,0.12078E+00,-0.39529E-01
1710,0.12072E+00,-0.39531E-01
1720,0.12067E+00,-0.39533E-01
1730,0.12062E+00,-0.39534E-01
1740,0.12058E+00,-0.39535E-01
1750,0.12053E+00,-0.39537E-01
1760,0.12048E+00,-0.39538E-01
1770,0.12043E+00,-0.39539E-01
1780,0.12038E+00,-0.39541E-01
1790,0.12034E+00,-0.39543E-01
1800,0.12029E+00,-0.39545E-01
1810,0.12024E+00,-0.39546E-01
1820,0.12020E+00,-0.39547E-01
1830,0.12015E+00,-0.39549E-01
1840,0.12011E+00,-0.39551E-01
1850,0.12007E+00,-0.39552E-01
1860,0.12002E+00,-0.39554E-01
1870,0.11998E+00,-0.39555E-01
1880,0.11994E+00,-0.39558E-01
1890,0.11989E+00,-0.39559E-01
1900,0.11985E+00,-0.39561E-01
1910,0.11981E+00,-0.39562E-01
1920,0.11977E+00,-0.39563E-01
1930,0.11973E+00,-0.39565E-01
1940,0.11969E+00,-0.39566E-01
1950,0.11965E+00,-0.39567E-01
1960,0.11961E+00,-0.39568E-01
1970,0.11957E+00,-0.39570E-01
1980,0.11954E+00,-0.39571E-01
1990,0.11950E+00,-0.39572E-01
2000,0.11946E+00,-0.39573E-01
2010,0.11942E+00,-0.39574E-01
2020,0.11939E+00,-0.39576E-01
2030,0.11935E+00,-0.39577E-01
2040,0.11931E+00,-0.39578E-01
2050,0.11928E+00,-0.39579E-01
2060,0.11924E+00,-0.39580E-01
2070,0.11921E+00,-0.39581E-01
2080,0.11917E+00,-0.39582E-01
2090,0.11914E+00,-0.39583E-01
2100,0.11911E+00,-0.39583E-01
2110,0.11907E+00,-0.39585E-01
2120,0.11904E+00,-0.39585E-01
2130,0.11901E+00,-0.39586E-01
2140,0.11897E+00,-0.39587E-01
2150,0.11894E+00,-0.39587E-01
2160,0.11891E+00,-0.39588E-01
2170,0.11888E+00,-0.39589E-01
2180,0.11885E+00,-0.39589E-01
2190,0.11882E+00,-0.39590E-01
2200,0.11879E+00,-0.39590E-01
2210,0.11876E+00,-0.39590E-01
2220,0.11873E+00,-0.39591E-01
2230,0.11870E+00,-0.39591E-01
2240,0.11867E+00,-0.39591E-01
2250,0.11864E+00,-0.39592E-01
2260,0.11861E+00,-0.39592E-01
2270,0.11858E+00,-0.39592E-01
2280,0.11856E+00,-0.39592E-01
2290,0.11853E+00,-0.39593E-01
2300,0.11850E+00,-0.39593E-01
2310,0.11847E+00,-0.39593E-01
2320,0.11845E+00,-0.39594E-01
2330,0.11842E+00,-0.39594E-01
2340,0.11839E+00,-0.39594E-01
2350,0.11837E+00,-0.39594E-01
2360,0.11834E+00,-0.39594E-01
2370,0.11832E+00,-0.39595E-01
2380,0.11829E+00,-0.39595E-01
2390,0.11827E+00,-0.39595E-01
2400,0.11825E+00,-0.39595E-01
2410,0.11822E+00,-0.39596E-01
2420,0.11820E+00,-0.39596E-01
2430,0.11817E+00,-0.39596E-01
2440,0.11815E+00,-0.39596E-01
2450,0.11813E+00,-0.39596E-01
2460,0.11811E+00,-0.39596E-01
2470,0.11808E+00,-0.39596E-01
2480,0.11806E+00,-0.39597E-01
2490,0.11804E+00,-0.39596E-01
2500,0.11802E+00,-0.39597E-01
2510,0.11800E+00,-0.39597E-01
2520,0.11798E+00,-0.39597E-01
2530,0.11796E+00,-0.39597E-01
2540,0.11793E+00,-0.39597E-01
2550,0.11792E+00,-0.39597E-01
2560,0.11790E+00,-0.39597E-01
2570,0.11788E+00,-0.39597E-01
2580,0.11786E+00,-0.39597E-01
2590,0.11784E+00,-0.39597E-01
2600,0.11782E+00,-0.39597E-01
2610,0.11780E+00,-0.39597E-01
2620,0.11778E+00,-0.39597E-01
2630,0.11776E+00,-0.39597E-01
2640,0.11774E+00,-0.39597E-01
2650,0.11773E+00,-0.39597E-01
2660,0.11771E+00,-0.39597E-01
2670,0.11769E+00,-0.39598E-01
2680,0.11768E+00,-0.39597E-01
2690,0.11766E+00,-0.39597E-01
2700,0.11764E+00,-0.39598E-01
2710,0.11762E+00,-0.39597E-01
2720,0.11761E+00,-0.39597E-01
2730,0.11759E+00,-0.39597E-01
2740,0.11758E+00,-0.39597E-01
2750,0.11756E+00,-0.39597E-01
2760,0.11755E+00,-0.39597E-01
2770,0.11753E+00,-0.39597E-01
2780,0.11752E+00,-0.39597E-01
2790,0.11750E+00,-0.39597E-01
2800,0.11749E+00,-0.39597E-01
2810,0.11747E+00,-0.39597E-01
2820,0.11746E+00,-0.39596E-01
2830,0.11744E+00,-0.39597E-01
2840,0.11743E+00,-0.39596E-01
2850,0.11742E+00,-0.39596E-01
2860,0.11740E+00,-0.39596E-01
2870,0.11739E+00,-0.39596E-01
2880,0.11738E+00,-0.39596E-01
2890,0.11736E+00,-0.39595E-01
2900,0.11735E+00,-0.39596E-01
2910,0.11734E+00,-0.39595E-01
2920,0.11733E+00,-0.39595E-01
2930,0.11731E+00,-0.39595E-01
2940,0.11730E+00,-0.39595E-01
2950,0.11729E+00,-0.39594E-01
2960,0.11728E+00,-0.39594E-01
2970,0.11727E+00,-0.39594E-01
2980,0.11725E+00,-0.39593E-01
2990,0.11724E+00,-0.39593E-01
3000,0.11723E+00,-0.39593E-01
3010,0.11722E+00,-0.39593E-01
