v1,v2,v3
1,0.30865E+01,0.11421E+01
10,0.33231E+01,0.15075E+01
20,0.27558E+01,0.14914E+01
30,0.18815E+01,0.11691E+01
40,0.13577E+01,0.92061E+00
50,0.10271E+01,0.74128E+00
60,0.85483E+00,0.64695E+00
70,0.64478E+00,0.52777E+00
80,0.43398E+00,0.41480E+00
90,0.34059E+00,0.36809E+00
100,0.32158E+00,0.41754E+00
110,0.32776E+00,0.48168E+00
120,0.23077E+00,0.62039E+00
130,0.21883E+00,0.61852E+00
140,0.20859E+00,0.69328E+00
150,0.20350E+00,0.74245E+00
160,0.21572E+00,0.75230E+00
170,0.19730E+00,0.77579E+00
180,0.17959E+00,0.79204E+00
190,0.18256E+00,0.79475E+00
200,0.17083E+00,0.80619E+00
210,0.16098E+00,0.81399E+00
220,0.16390E+00,0.81488E+00
230,0.15669E+00,0.82063E+00
240,0.15053E+00,0.82545E+00
250,0.15303E+00,0.82596E+00
260,0.14847E+00,0.83019E+00
270,0.14441E+00,0.83354E+00
280,0.14623E+00,0.83391E+00
290,0.14339E+00,0.83689E+00
300,0.14108E+00,0.83938E+00
310,0.14240E+00,0.83959E+00
320,0.14092E+00,0.84177E+00
330,0.13974E+00,0.84360E+00
340,0.14069E+00,0.84382E+00
350,0.14001E+00,0.84535E+00
360,0.13954E+00,0.84659E+00
370,0.14019E+00,0.84666E+00
380,0.14002E+00,0.84768E+00
390,0.14001E+00,0.84841E+00
400,0.14043E+00,0.84848E+00
410,0.14060E+00,0.84892E+00
420,0.14081E+00,0.84922E+00
430,0.14107E+00,0.84929E+00
440,0.14137E+00,0.84937E+00
450,0.14160E+00,0.84922E+00
460,0.14177E+00,0.84922E+00
470,0.14206E+00,0.84900E+00
480,0.14223E+00,0.84857E+00
490,0.14235E+00,0.84857E+00
500,0.14257E+00,0.84805E+00
510,0.14268E+00,0.84747E+00
520,0.14278E+00,0.84740E+00
530,0.14293E+00,0.84674E+00
540,0.14297E+00,0.84608E+00
550,0.14307E+00,0.84600E+00
560,0.14317E+00,0.84535E+00
570,0.14317E+00,0.84469E+00
580,0.14331E+00,0.84462E+00
590,0.14337E+00,0.84404E+00
600,0.14334E+00,0.84345E+00
610,0.14350E+00,0.84345E+00
620,0.14354E+00,0.84338E+00
630,0.14345E+00,0.84287E+00
640,0.14360E+00,0.84280E+00
650,0.14363E+00,0.84229E+00
660,0.14360E+00,0.84193E+00
670,0.14377E+00,0.84186E+00
680,0.14375E+00,0.84142E+00
690,0.14368E+00,0.84098E+00
700,0.14384E+00,0.84098E+00
710,0.14378E+00,0.84053E+00
720,0.14366E+00,0.84003E+00
730,0.14383E+00,0.83995E+00
740,0.14372E+00,0.83952E+00
750,0.14357E+00,0.83901E+00
760,0.14373E+00,0.83894E+00
770,0.14360E+00,0.83842E+00
780,0.14344E+00,0.83791E+00
790,0.14360E+00,0.83784E+00
800,0.14345E+00,0.83733E+00
810,0.14331E+00,0.83682E+00
820,0.14344E+00,0.83674E+00
830,0.14331E+00,0.83623E+00
840,0.14316E+00,0.83573E+00
850,0.14328E+00,0.83565E+00
860,0.14315E+00,0.83515E+00
870,0.14302E+00,0.83471E+00
880,0.14314E+00,0.83463E+00
890,0.14302E+00,0.83412E+00
900,0.14288E+00,0.83368E+00
910,0.14299E+00,0.83361E+00
920,0.14288E+00,0.83317E+00
930,0.14276E+00,0.83274E+00
940,0.14286E+00,0.83267E+00
950,0.14276E+00,0.83223E+00
960,0.14266E+00,0.83186E+00
970,0.14274E+00,0.83179E+00
980,0.14264E+00,0.83143E+00
990,0.14256E+00,0.83099E+00
1000,0.14262E+00,0.83099E+00
1010,0.14255E+00,0.83062E+00
1020,0.14246E+00,0.83026E+00
1030,0.14252E+00,0.83019E+00
1040,0.14245E+00,0.82989E+00
1050,0.14239E+00,0.82952E+00
1060,0.14244E+00,0.82945E+00
1070,0.14238E+00,0.82916E+00
1080,0.14232E+00,0.82887E+00
1090,0.14235E+00,0.82880E+00
1100,0.14230E+00,0.82858E+00
1110,0.14224E+00,0.82828E+00
1120,0.14228E+00,0.82821E+00
1130,0.14230E+00,0.82821E+00
1140,0.14222E+00,0.82793E+00
1150,0.14226E+00,0.82793E+00
1160,0.14221E+00,0.82763E+00
1170,0.14216E+00,0.82741E+00
1180,0.14220E+00,0.82741E+00
1190,0.14215E+00,0.82713E+00
1200,0.14211E+00,0.82690E+00
1210,0.14215E+00,0.82690E+00
1220,0.14211E+00,0.82669E+00
1230,0.14206E+00,0.82646E+00
1240,0.14209E+00,0.82639E+00
1250,0.14206E+00,0.82624E+00
1260,0.14203E+00,0.82603E+00
1270,0.14205E+00,0.82603E+00
1280,0.14203E+00,0.82580E+00
1290,0.14199E+00,0.82559E+00
1300,0.14200E+00,0.82559E+00
1310,0.14198E+00,0.82545E+00
1320,0.14194E+00,0.82522E+00
1330,0.14197E+00,0.82522E+00
1340,0.14194E+00,0.82501E+00
1350,0.14192E+00,0.82486E+00
1360,0.14194E+00,0.82486E+00
1370,0.14192E+00,0.82472E+00
1380,0.14188E+00,0.82449E+00
1390,0.14191E+00,0.82449E+00
