v1,v2,v3
1,0.31885E+00,-0.29334E+00
10,0.39013E+00,-0.40936E+00
20,0.37141E+00,-0.42190E+00
30,0.34870E+00,-0.42346E+00
40,0.31736E+00,-0.41703E+00
50,0.27594E+00,-0.40305E+00
60,0.22907E+00,-0.38392E+00
70,0.18180E+00,-0.35345E+00
80,0.14930E+00,-0.33374E+00
90,0.13644E+00,-0.32288E+00
100,0.13365E+00,-0.31401E+00
110,0.13384E+00,-0.30542E+00
120,0.11591E+00,-0.26683E+00
130,0.11621E+00,-0.26564E+00
140,0.10433E+00,-0.24811E+00
150,0.95639E-01,-0.23385E+00
160,0.95803E-01,-0.23315E+00
170,0.90110E-01,-0.22276E+00
180,0.86842E-01,-0.21682E+00
190,0.87163E-01,-0.21548E+00
200,0.85132E-01,-0.21120E+00
210,0.83860E-01,-0.20960E+00
220,0.84144E-01,-0.20884E+00
230,0.83090E-01,-0.20868E+00
240,0.82190E-01,-0.20951E+00
250,0.82446E-01,-0.20942E+00
260,0.81478E-01,-0.21065E+00
270,0.80672E-01,-0.21207E+00
280,0.80692E-01,-0.21226E+00
290,0.79536E-01,-0.21322E+00
300,0.78285E-01,-0.21431E+00
310,0.78005E-01,-0.21461E+00
320,0.76985E-01,-0.21519E+00
330,0.76276E-01,-0.21587E+00
340,0.76278E-01,-0.21593E+00
350,0.75793E-01,-0.21631E+00
360,0.75229E-01,-0.21696E+00
370,0.75217E-01,-0.21694E+00
380,0.74511E-01,-0.21756E+00
390,0.73639E-01,-0.21784E+00
400,0.73467E-01,-0.21762E+00
410,0.72386E-01,-0.21686E+00
420,0.71404E-01,-0.21519E+00
430,0.71321E-01,-0.21480E+00
440,0.70565E-01,-0.21257E+00
450,0.69642E-01,-0.21005E+00
460,0.69612E-01,-0.20966E+00
470,0.68536E-01,-0.20720E+00
480,0.67439E-01,-0.20502E+00
490,0.67392E-01,-0.20469E+00
500,0.66450E-01,-0.20283E+00
510,0.65639E-01,-0.20110E+00
520,0.65647E-01,-0.20091E+00
530,0.65043E-01,-0.19937E+00
540,0.64594E-01,-0.19803E+00
550,0.64662E-01,-0.19792E+00
560,0.64329E-01,-0.19669E+00
570,0.64074E-01,-0.19559E+00
580,0.64154E-01,-0.19552E+00
590,0.63988E-01,-0.19462E+00
600,0.63934E-01,-0.19402E+00
610,0.64027E-01,-0.19401E+00
620,0.64124E-01,-0.19407E+00
630,0.64160E-01,-0.19386E+00
640,0.64260E-01,-0.19388E+00
650,0.64369E-01,-0.19377E+00
660,0.64537E-01,-0.19382E+00
670,0.64632E-01,-0.19389E+00
680,0.64796E-01,-0.19396E+00
690,0.64935E-01,-0.19395E+00
700,0.65024E-01,-0.19397E+00
710,0.65116E-01,-0.19369E+00
720,0.65166E-01,-0.19307E+00
730,0.65240E-01,-0.19299E+00
740,0.65232E-01,-0.19193E+00
750,0.65169E-01,-0.19049E+00
760,0.65224E-01,-0.19029E+00
770,0.65071E-01,-0.18849E+00
780,0.64822E-01,-0.18644E+00
790,0.64852E-01,-0.18618E+00
800,0.64510E-01,-0.18406E+00
810,0.64112E-01,-0.18198E+00
820,0.64113E-01,-0.18173E+00
830,0.63685E-01,-0.17984E+00
840,0.63252E-01,-0.17815E+00
850,0.63242E-01,-0.17797E+00
860,0.62821E-01,-0.17655E+00
870,0.62420E-01,-0.17537E+00
880,0.62406E-01,-0.17526E+00
890,0.62034E-01,-0.17433E+00
900,0.61689E-01,-0.17361E+00
910,0.61676E-01,-0.17356E+00
920,0.61370E-01,-0.17305E+00
930,0.61097E-01,-0.17272E+00
940,0.61086E-01,-0.17270E+00
950,0.60858E-01,-0.17252E+00
960,0.60666E-01,-0.17245E+00
970,0.60659E-01,-0.17246E+00
980,0.60506E-01,-0.17248E+00
990,0.60373E-01,-0.17256E+00
1000,0.60372E-01,-0.17257E+00
1010,0.60264E-01,-0.17269E+00
1020,0.68320E-01,-0.17019E+00
1030,0.68370E-01,-0.16988E+00
1040,0.72869E-01,-0.16833E+00
1050,0.74395E-01,-0.16792E+00
1060,0.74675E-01,-0.16782E+00
1070,0.74008E-01,-0.16822E+00
1080,0.72921E-01,-0.16891E+00
1090,0.72808E-01,-0.16898E+00
1100,0.72075E-01,-0.16952E+00
1110,0.71699E-01,-0.16987E+00
1120,0.71702E-01,-0.16995E+00
1130,0.71704E-01,-0.17004E+00
1140,0.71643E-01,-0.17014E+00
1150,0.71649E-01,-0.17020E+00
1160,0.71793E-01,-0.17023E+00
1170,0.72039E-01,-0.17030E+00
1180,0.72082E-01,-0.17034E+00
1190,0.72355E-01,-0.17051E+00
1200,0.72627E-01,-0.17077E+00
1210,0.72671E-01,-0.17082E+00
1220,0.72927E-01,-0.17119E+00
