v1,v2,v3
1,0.44409E+01,0.48377E+01
10,0.71198E+01,0.74863E+01
20,0.66708E+01,0.78007E+01
30,0.63413E+01,0.78177E+01
40,0.60173E+01,0.77257E+01
50,0.55966E+01,0.74885E+01
60,0.50897E+01,0.73747E+01
70,0.45153E+01,0.73749E+01
80,0.40967E+01,0.74685E+01
90,0.39007E+01,0.75484E+01
100,0.37296E+01,0.75256E+01
110,0.35983E+01,0.74883E+01
120,0.35176E+01,0.73403E+01
130,0.35179E+01,0.71129E+01
140,0.35517E+01,0.69288E+01
150,0.34868E+01,0.67542E+01
160,0.33886E+01,0.66009E+01
170,0.32783E+01,0.64125E+01
180,0.31684E+01,0.60942E+01
190,0.30381E+01,0.57111E+01
200,0.29463E+01,0.52326E+01
210,0.28751E+01,0.47106E+01
220,0.28343E+01,0.42229E+01
230,0.28221E+01,0.37339E+01
240,0.28047E+01,0.31940E+01
250,0.27291E+01,0.25205E+01
260,0.25992E+01,0.17017E+01
270,0.24425E+01,0.87264E+00
280,0.22828E+01,0.20081E+00
290,0.21418E+01,-0.25945E+00
300,0.20346E+01,-0.60006E+00
310,0.19489E+01,-0.89029E+00
320,0.18932E+01,-0.11116E+01
330,0.18661E+01,-0.12826E+01
340,0.18605E+01,-0.14403E+01
350,0.18500E+01,-0.16257E+01
360,0.18280E+01,-0.18258E+01
370,0.18027E+01,-0.19872E+01
380,0.17770E+01,-0.20980E+01
390,0.17534E+01,-0.21519E+01
400,0.17379E+01,-0.21672E+01
410,0.17303E+01,-0.21702E+01
420,0.17311E+01,-0.21581E+01
430,0.17440E+01,-0.21189E+01
440,0.17731E+01,-0.20263E+01
450,0.18097E+01,-0.18647E+01
460,0.18443E+01,-0.16315E+01
470,0.18779E+01,-0.13322E+01
480,0.19090E+01,-0.98808E+00
490,0.19369E+01,-0.62103E+00
500,0.19640E+01,-0.24821E+00
510,0.19955E+01,0.12095E+00
520,0.20310E+01,0.44596E+00
530,0.20687E+01,0.69147E+00
540,0.21087E+01,0.86342E+00
550,0.21489E+01,0.99542E+00
560,0.21862E+01,0.11113E+01
570,0.22205E+01,0.12246E+01
580,0.22531E+01,0.13387E+01
590,0.22818E+01,0.14495E+01
600,0.23019E+01,0.15437E+01
610,0.23132E+01,0.16133E+01
620,0.23179E+01,0.16625E+01
630,0.23186E+01,0.17017E+01
640,0.23183E+01,0.17400E+01
650,0.23186E+01,0.17726E+01
660,0.23177E+01,0.17846E+01
670,0.23146E+01,0.17672E+01
680,0.23095E+01,0.17214E+01
690,0.23029E+01,0.16509E+01
700,0.22947E+01,0.15541E+01
710,0.22825E+01,0.14177E+01
720,0.22639E+01,0.12310E+01
730,0.22394E+01,0.99953E+00
740,0.22127E+01,0.75146E+00
750,0.21900E+01,0.52756E+00
760,0.21761E+01,0.35621E+00
770,0.21711E+01,0.24396E+00
780,0.21714E+01,0.18192E+00
790,0.21734E+01,0.15361E+00
800,0.21753E+01,0.13836E+00
810,0.21748E+01,0.11665E+00
820,0.21706E+01,0.82334E-01
830,0.21639E+01,0.38799E-01
840,0.21577E+01,-0.62357E-02
850,0.21540E+01,-0.43448E-01
860,0.21526E+01,-0.67456E-01
870,0.21520E+01,-0.77828E-01
880,0.21520E+01,-0.75698E-01
890,0.21526E+01,-0.60432E-01
900,0.21530E+01,-0.29343E-01
910,0.21520E+01,0.18614E-01
920,0.21483E+01,0.79351E-01
930,0.21421E+01,0.14683E+00
940,0.21339E+01,0.21745E+00
950,0.21261E+01,0.29199E+00
960,0.21198E+01,0.37464E+00
970,0.21160E+01,0.46949E+00
980,0.21148E+01,0.57884E+00
990,0.21159E+01,0.70039E+00
1000,0.21190E+01,0.82805E+00
1010,0.21236E+01,0.95458E+00
1020,0.21287E+01,0.13627E+01
1030,0.21323E+01,0.14169E+01
1040,0.20493E+01,0.12264E+01
1050,0.19399E+01,0.88135E+00
1060,0.19306E+01,0.85114E+00
1070,0.18108E+01,0.66739E+00
1080,0.16825E+01,0.68863E+00
1090,0.16687E+01,0.69103E+00
1100,0.15264E+01,0.82141E+00
1110,0.13847E+01,0.94966E+00
1120,0.13709E+01,0.96114E+00
1130,0.12680E+01,0.10320E+01
1140,0.11970E+01,0.10555E+01
1150,0.11903E+01,0.10574E+01
1160,0.11478E+01,0.10564E+01
1170,0.11210E+01,0.10538E+01
1180,0.11188E+01,0.10523E+01
1190,0.11008E+01,0.10533E+01
1200,0.10849E+01,0.10565E+01
1210,0.10839E+01,0.10546E+01
1220,0.10667E+01,0.10560E+01
1230,0.10454E+01,0.10535E+01
1240,0.10437E+01,0.10511E+01
1250,0.10157E+01,0.10476E+01
1260,0.97984E+00,0.10466E+01
1270,0.97628E+00,0.10450E+01
1280,0.92999E+00,0.10493E+01
1290,0.87421E+00,0.10567E+01
1300,0.86839E+00,0.10563E+01
1310,0.80493E+00,0.10656E+01
1320,0.73840E+00,0.10747E+01
1330,0.73153E+00,0.10748E+01
1340,0.66645E+00,0.10847E+01
1350,0.60538E+00,0.10960E+01
1360,0.59904E+00,0.10964E+01
1370,0.54362E+00,0.11108E+01
1380,0.49386E+00,0.11275E+01
1390,0.48880E+00,0.11284E+01
1400,0.44631E+00,0.11475E+01
1410,0.40995E+00,0.11670E+01
1420,0.40651E+00,0.11683E+01
1430,0.37569E+00,0.11867E+01
1440,0.34742E+00,0.12027E+01
1450,0.34496E+00,0.12035E+01
1460,0.31649E+00,0.12170E+01
1470,0.28517E+00,0.12286E+01
1480,0.28256E+00,0.12289E+01
1490,0.24833E+00,0.12394E+01
1500,0.21307E+00,0.12483E+01
1510,0.21024E+00,0.12485E+01
1520,0.20730E+00,0.12486E+01
1530,0.17384E+00,0.12570E+01
1540,0.17122E+00,0.12571E+01
1550,0.14140E+00,0.12618E+01
1560,0.11554E+00,0.12629E+01
1570,0.11363E+00,0.12625E+01
1580,0.92492E-01,0.12614E+01
1590,0.75630E-01,0.12591E+01
1600,0.74548E-01,0.12587E+01
1610,0.61720E-01,0.12562E+01
1620,0.51862E-01,0.12540E+01
1630,0.51460E-01,0.12537E+01
1640,0.44223E-01,0.12528E+01
1650,0.38994E-01,0.12533E+01
1660,0.39024E-01,0.12534E+01
1670,0.35740E-01,0.12558E+01
1680,0.34553E-01,0.12593E+01
1690,0.34927E-01,0.12599E+01
1700,0.37345E-01,0.12644E+01
1710,0.44746E-01,0.12694E+01
1720,0.45909E-01,0.12702E+01
1730,0.59848E-01,0.12757E+01
1740,0.79503E-01,0.12811E+01
1750,0.81789E-01,0.12820E+01
1760,0.10659E+00,0.12865E+01
1770,0.13471E+00,0.12890E+01
1780,0.13782E+00,0.12895E+01
1790,0.16824E+00,0.12893E+01
1800,0.19942E+00,0.12863E+01
1810,0.20289E+00,0.12862E+01
1820,0.23404E+00,0.12803E+01
1830,0.26442E+00,0.12722E+01
1840,0.26786E+00,0.12715E+01
1850,0.29719E+00,0.12613E+01
1860,0.32545E+00,0.12498E+01
1870,0.32870E+00,0.12486E+01
1880,0.35603E+00,0.12365E+01
1890,0.38276E+00,0.12245E+01
1900,0.38585E+00,0.12231E+01
1910,0.41231E+00,0.12119E+01
1920,0.43881E+00,0.12020E+01
1930,0.44181E+00,0.12008E+01
1940,0.46822E+00,0.11924E+01
1950,0.49390E+00,0.11853E+01
1960,0.49677E+00,0.11842E+01
1970,0.52104E+00,0.11779E+01
1980,0.54368E+00,0.11718E+01
1990,0.54629E+00,0.11707E+01
2000,0.56716E+00,0.11643E+01
2010,0.58653E+00,0.11577E+01
2020,0.58883E+00,0.11566E+01
2030,0.59106E+00,0.11554E+01
2040,0.60833E+00,0.11488E+01
2050,0.61037E+00,0.11477E+01
2060,0.62689E+00,0.11424E+01
2070,0.64264E+00,0.11383E+01
2080,0.64455E+00,0.11374E+01
2090,0.65943E+00,0.11347E+01
2100,0.67347E+00,0.11333E+01
2110,0.67518E+00,0.11326E+01
2120,0.68827E+00,0.11322E+01
2130,0.70045E+00,0.11322E+01
2140,0.70193E+00,0.11317E+01
2150,0.71310E+00,0.11315E+01
2160,0.72334E+00,0.11309E+01
2170,0.72460E+00,0.11304E+01
2180,0.73387E+00,0.11289E+01
2190,0.74231E+00,0.11267E+01
2200,0.74337E+00,0.11261E+01
2210,0.75100E+00,0.11232E+01
2220,0.75798E+00,0.11200E+01
2230,0.75888E+00,0.11194E+01
2240,0.76520E+00,0.11161E+01
2250,0.77098E+00,0.11130E+01
2260,0.77174E+00,0.11124E+01
2270,0.77692E+00,0.11097E+01
2280,0.78154E+00,0.11074E+01
2290,0.78217E+00,0.11070E+01
2300,0.78612E+00,0.11053E+01
2310,0.78939E+00,0.11039E+01
2320,0.78987E+00,0.11037E+01
2330,0.79232E+00,0.11028E+01
2340,0.79395E+00,0.11024E+01
2350,0.79425E+00,0.11023E+01
2360,0.79489E+00,0.11023E+01
2370,0.79458E+00,0.11028E+01
2380,0.79466E+00,0.11028E+01
2390,0.79323E+00,0.11037E+01
2400,0.79078E+00,0.11051E+01
2410,0.79063E+00,0.11052E+01
2420,0.78701E+00,0.11070E+01
2430,0.78233E+00,0.11092E+01
2440,0.78194E+00,0.11095E+01
2450,0.77611E+00,0.11121E+01
2460,0.76927E+00,0.11149E+01
2470,0.76864E+00,0.11153E+01
2480,0.76070E+00,0.11185E+01
2490,0.75183E+00,0.11218E+01
2500,0.75097E+00,0.11223E+01
2510,0.74111E+00,0.11258E+01
2520,0.73043E+00,0.11292E+01
2530,0.72937E+00,0.11298E+01
2540,0.72832E+00,0.11304E+01
2550,0.71671E+00,0.11338E+01
2560,0.71557E+00,0.11343E+01
2570,0.70324E+00,0.11375E+01
2580,0.69040E+00,0.11407E+01
2590,0.68908E+00,0.11413E+01
2600,0.67577E+00,0.11444E+01
2610,0.66214E+00,0.11476E+01
2620,0.66073E+00,0.11481E+01
2630,0.64681E+00,0.11512E+01
2640,0.63277E+00,0.11541E+01
2650,0.63131E+00,0.11547E+01
2660,0.61721E+00,0.11575E+01
2670,0.60317E+00,0.11602E+01
2680,0.60169E+00,0.11607E+01
2690,0.58779E+00,0.11633E+01
2700,0.57411E+00,0.11658E+01
2710,0.57267E+00,0.11664E+01
2720,0.55931E+00,0.11688E+01
2730,0.54629E+00,0.11712E+01
2740,0.54492E+00,0.11717E+01
2750,0.53231E+00,0.11740E+01
2760,0.52012E+00,0.11761E+01
2770,0.51883E+00,0.11767E+01
2780,0.50711E+00,0.11788E+01
2790,0.49584E+00,0.11807E+01
2800,0.49465E+00,0.11813E+01
2810,0.48387E+00,0.11832E+01
2820,0.47356E+00,0.11849E+01
2830,0.47246E+00,0.11855E+01
2840,0.46266E+00,0.11872E+01
2850,0.45332E+00,0.11888E+01
2860,0.45232E+00,0.11893E+01
2870,0.44352E+00,0.11908E+01
2880,0.43518E+00,0.11924E+01
2890,0.43429E+00,0.11929E+01
2900,0.42649E+00,0.11943E+01
2910,0.41918E+00,0.11958E+01
2920,0.41840E+00,0.11963E+01
2930,0.41165E+00,0.11977E+01
2940,0.40539E+00,0.11992E+01
2950,0.40472E+00,0.11996E+01
2960,0.39902E+00,0.12011E+01
2970,0.39383E+00,0.12025E+01
2980,0.39328E+00,0.12030E+01
2990,0.38866E+00,0.12044E+01
3000,0.38456E+00,0.12058E+01
3010,0.38412E+00,0.12062E+01
3020,0.38059E+00,0.12075E+01
3030,0.37757E+00,0.12088E+01
3040,0.37726E+00,0.12092E+01
3050,0.37693E+00,0.12096E+01
3060,0.37457E+00,0.12107E+01
3070,0.37433E+00,0.12110E+01
3080,0.37252E+00,0.12120E+01
3090,0.37118E+00,0.12131E+01
3100,0.37105E+00,0.12133E+01
3110,0.37020E+00,0.12143E+01
3120,0.36981E+00,0.12151E+01
3130,0.36978E+00,0.12153E+01
3140,0.36987E+00,0.12160E+01
3150,0.37039E+00,0.12165E+01
3160,0.37045E+00,0.12166E+01
3170,0.37142E+00,0.12170E+01
3180,0.37279E+00,0.12172E+01
3190,0.37293E+00,0.12173E+01
3200,0.37471E+00,0.12174E+01
3210,0.37686E+00,0.12173E+01
3220,0.37707E+00,0.12173E+01
3230,0.37960E+00,0.12171E+01
