v1,v2,v3
1,0.61401E+02,0.11078E+02
10,0.27186E+02,0.26249E+02
20,0.17285E+02,0.27027E+02
30,0.13507E+02,0.25281E+02
40,0.11021E+02,0.21544E+02
50,0.92200E+01,0.17488E+02
60,0.77642E+01,0.13674E+02
70,0.65442E+01,0.10024E+02
80,0.54786E+01,0.68279E+01
90,0.45934E+01,0.45071E+01
100,0.38678E+01,0.30580E+01
110,0.32720E+01,0.23806E+01
120,0.28152E+01,0.23102E+01
130,0.24894E+01,0.25986E+01
140,0.23047E+01,0.28586E+01
150,0.22316E+01,0.31348E+01
160,0.22060E+01,0.36101E+01
170,0.21748E+01,0.42508E+01
180,0.21983E+01,0.50030E+01
190,0.22377E+01,0.58866E+01
200,0.22715E+01,0.68618E+01
210,0.22926E+01,0.77963E+01
220,0.22978E+01,0.84628E+01
230,0.22956E+01,0.87235E+01
240,0.22585E+01,0.86349E+01
250,0.21802E+01,0.82957E+01
260,0.20885E+01,0.77699E+01
270,0.20052E+01,0.72035E+01
280,0.19502E+01,0.67850E+01
290,0.19301E+01,0.65753E+01
300,0.19287E+01,0.65059E+01
310,0.19223E+01,0.64870E+01
320,0.19020E+01,0.64860E+01
330,0.18665E+01,0.64792E+01
340,0.18189E+01,0.64560E+01
350,0.17651E+01,0.64697E+01
360,0.17054E+01,0.65995E+01
370,0.16393E+01,0.68853E+01
380,0.15727E+01,0.72846E+01
390,0.15136E+01,0.77104E+01
400,0.14667E+01,0.80581E+01
410,0.14291E+01,0.82456E+01
420,0.13945E+01,0.82652E+01
430,0.13611E+01,0.82012E+01
440,0.13336E+01,0.81272E+01
450,0.13218E+01,0.80800E+01
460,0.13303E+01,0.80690E+01
470,0.13543E+01,0.80767E+01
480,0.13883E+01,0.80826E+01
490,0.14277E+01,0.80763E+01
500,0.14661E+01,0.80533E+01
510,0.14985E+01,0.80303E+01
520,0.15205E+01,0.80269E+01
530,0.15293E+01,0.80425E+01
540,0.15220E+01,0.80419E+01
550,0.14968E+01,0.80066E+01
560,0.14534E+01,0.79530E+01
570,0.13980E+01,0.79270E+01
580,0.13440E+01,0.79767E+01
590,0.13018E+01,0.81170E+01
600,0.12742E+01,0.83218E+01
610,0.12609E+01,0.85527E+01
620,0.10596E+01,0.83731E+01
630,0.11021E+01,0.85119E+01
640,0.10268E+01,0.83436E+01
650,0.95819E+00,0.82357E+01
660,0.98243E+00,0.82192E+01
670,0.92423E+00,0.81595E+01
680,0.86166E+00,0.81324E+01
690,0.87783E+00,0.81270E+01
700,0.82855E+00,0.81218E+01
710,0.78218E+00,0.81270E+01
720,0.79376E+00,0.81280E+01
730,0.76056E+00,0.81394E+01
740,0.72835E+00,0.81516E+01
750,0.73819E+00,0.81531E+01
760,0.71453E+00,0.81655E+01
770,0.68992E+00,0.81774E+01
780,0.69824E+00,0.81788E+01
790,0.67891E+00,0.81902E+01
800,0.65783E+00,0.82007E+01
810,0.66450E+00,0.82017E+01
820,0.64744E+00,0.82114E+01
830,0.62894E+00,0.82204E+01
840,0.63438E+00,0.82211E+01
850,0.61955E+00,0.82290E+01
860,0.60387E+00,0.82360E+01
870,0.60845E+00,0.82364E+01
880,0.59613E+00,0.82421E+01
890,0.58308E+00,0.82468E+01
900,0.58707E+00,0.82472E+01
910,0.57690E+00,0.82507E+01
920,0.56593E+00,0.82536E+01
930,0.56947E+00,0.82537E+01
940,0.56082E+00,0.82551E+01
950,0.55130E+00,0.82557E+01
960,0.55442E+00,0.82556E+01
970,0.54686E+00,0.82547E+01
980,0.53853E+00,0.82529E+01
990,0.54127E+00,0.82524E+01
1000,0.53465E+00,0.82493E+01
1010,0.52735E+00,0.82453E+01
1020,0.52979E+00,0.82446E+01
1030,0.52400E+00,0.82400E+01
1040,0.51754E+00,0.82346E+01
1050,0.51973E+00,0.82336E+01
1060,0.51457E+00,0.82278E+01
1070,0.50878E+00,0.82215E+01
1080,0.51077E+00,0.82205E+01
1090,0.50610E+00,0.82141E+01
1100,0.50088E+00,0.82076E+01
1110,0.50268E+00,0.82066E+01
1120,0.50283E+00,0.82061E+01
1130,0.49679E+00,0.81995E+01
1140,0.49853E+00,0.81985E+01
1150,0.49456E+00,0.81926E+01
1160,0.49023E+00,0.81875E+01
1170,0.49182E+00,0.81869E+01
1180,0.48847E+00,0.81828E+01
1190,0.48483E+00,0.81804E+01
1200,0.48634E+00,0.81801E+01
1210,0.48358E+00,0.81790E+01
1220,0.48055E+00,0.81797E+01
1230,0.48197E+00,0.81798E+01
1240,0.47967E+00,0.81815E+01
1250,0.47698E+00,0.81838E+01
1260,0.47829E+00,0.81842E+01
1270,0.47612E+00,0.81862E+01
1280,0.47350E+00,0.81876E+01
1290,0.47466E+00,0.81879E+01
1300,0.47244E+00,0.81879E+01
1310,0.46969E+00,0.81862E+01
1320,0.47071E+00,0.81859E+01
1330,0.46825E+00,0.81814E+01
1340,0.46524E+00,0.81744E+01
1350,0.46610E+00,0.81733E+01
1360,0.46338E+00,0.81634E+01
1370,0.46025E+00,0.81509E+01
1380,0.46095E+00,0.81492E+01
1390,0.45817E+00,0.81344E+01
1400,0.45507E+00,0.81181E+01
1410,0.45567E+00,0.81158E+01
1420,0.45298E+00,0.80982E+01
1430,0.45005E+00,0.80798E+01
1440,0.45058E+00,0.80773E+01
1450,0.44809E+00,0.80588E+01
1460,0.44543E+00,0.80402E+01
1470,0.44592E+00,0.80378E+01
1480,0.44373E+00,0.80201E+01
1490,0.44139E+00,0.80028E+01
1500,0.44183E+00,0.80005E+01
1510,0.43994E+00,0.79843E+01
1520,0.43790E+00,0.79689E+01
1530,0.43829E+00,0.79668E+01
1540,0.43663E+00,0.79526E+01
1550,0.43481E+00,0.79385E+01
1560,0.43516E+00,0.79367E+01
1570,0.43365E+00,0.79236E+01
1580,0.43194E+00,0.79106E+01
1590,0.43225E+00,0.79087E+01
1600,0.43080E+00,0.78965E+01
1610,0.42920E+00,0.78843E+01
1620,0.42947E+00,0.78828E+01
1630,0.42943E+00,0.78809E+01
1640,0.42772E+00,0.78696E+01
1650,0.42797E+00,0.78680E+01
1660,0.42674E+00,0.78577E+01
1670,0.42537E+00,0.78476E+01
1680,0.42561E+00,0.78463E+01
1690,0.42445E+00,0.78373E+01
1700,0.42318E+00,0.78287E+01
1710,0.42339E+00,0.78277E+01
1720,0.42236E+00,0.78205E+01
1730,0.42129E+00,0.78143E+01
1740,0.42149E+00,0.78136E+01
1750,0.42066E+00,0.78092E+01
1760,0.41983E+00,0.78058E+01
1770,0.42003E+00,0.78055E+01
1780,0.41939E+00,0.78038E+01
1790,0.41876E+00,0.78032E+01
1800,0.41896E+00,0.78032E+01
1810,0.41848E+00,0.78039E+01
1820,0.41797E+00,0.78055E+01
1830,0.41817E+00,0.78056E+01
1840,0.41777E+00,0.78080E+01
1850,0.41734E+00,0.78109E+01
1860,0.41753E+00,0.78112E+01
1870,0.41719E+00,0.78146E+01
1880,0.41680E+00,0.78180E+01
1890,0.41698E+00,0.78185E+01
1900,0.41667E+00,0.78222E+01
1910,0.41631E+00,0.78259E+01
1920,0.41647E+00,0.78265E+01
1930,0.41619E+00,0.78303E+01
1940,0.41588E+00,0.78341E+01
1950,0.41603E+00,0.78347E+01
1960,0.41576E+00,0.78384E+01
1970,0.41548E+00,0.78421E+01
1980,0.41562E+00,0.78426E+01
1990,0.41539E+00,0.78462E+01
2000,0.41514E+00,0.78497E+01
2010,0.41526E+00,0.78502E+01
2020,0.41508E+00,0.78537E+01
2030,0.41488E+00,0.78571E+01
