v1,v2,v3
1,0.11705E+00,0.13755E+00
10,0.15628E+00,0.16868E+00
20,0.15341E+00,0.17922E+00
30,0.14673E+00,0.18482E+00
40,0.13358E+00,0.18972E+00
50,0.11367E+00,0.19536E+00
60,0.90276E-01,0.19982E+00
70,0.67914E-01,0.20810E+00
80,0.52850E-01,0.19827E+00
90,0.47437E-01,0.18159E+00
100,0.47427E-01,0.16495E+00
110,0.49282E-01,0.15549E+00
120,0.47575E-01,0.15803E+00
130,0.47732E-01,0.15042E+00
140,0.43065E-01,0.13700E+00
150,0.38865E-01,0.12867E+00
160,0.38586E-01,0.12840E+00
170,0.36002E-01,0.12325E+00
180,0.34392E-01,0.12041E+00
190,0.34436E-01,0.12159E+00
200,0.33233E-01,0.12143E+00
210,0.32159E-01,0.12219E+00
220,0.32153E-01,0.12287E+00
230,0.31084E-01,0.12405E+00
240,0.30099E-01,0.12623E+00
250,0.30068E-01,0.12651E+00
260,0.29096E-01,0.12939E+00
270,0.28286E-01,0.13291E+00
280,0.28126E-01,0.13298E+00
290,0.27170E-01,0.13639E+00
300,0.26154E-01,0.13928E+00
310,0.25867E-01,0.13909E+00
320,0.25156E-01,0.14163E+00
330,0.24604E-01,0.14351E+00
340,0.24555E-01,0.14365E+00
350,0.24062E-01,0.14463E+00
360,0.23511E-01,0.14438E+00
370,0.23394E-01,0.14453E+00
380,0.22658E-01,0.14400E+00
390,0.21926E-01,0.14441E+00
400,0.21781E-01,0.14513E+00
410,0.21518E-01,0.14802E+00
420,0.21583E-01,0.15260E+00
430,0.21612E-01,0.15345E+00
440,0.21493E-01,0.15744E+00
450,0.21085E-01,0.16003E+00
460,0.21056E-01,0.16054E+00
470,0.20518E-01,0.16199E+00
480,0.19979E-01,0.16329E+00
490,0.19931E-01,0.16352E+00
500,0.19489E-01,0.16480E+00
510,0.19154E-01,0.16618E+00
520,0.19140E-01,0.16631E+00
530,0.18962E-01,0.16775E+00
540,0.18903E-01,0.16917E+00
550,0.18920E-01,0.16924E+00
560,0.18976E-01,0.17061E+00
570,0.19099E-01,0.17177E+00
580,0.19129E-01,0.17172E+00
590,0.19288E-01,0.17237E+00
600,0.19441E-01,0.17223E+00
610,0.19475E-01,0.17207E+00
620,0.19508E-01,0.17182E+00
630,0.19652E-01,0.17048E+00
640,0.19696E-01,0.17029E+00
650,0.19827E-01,0.16833E+00
660,0.19927E-01,0.16564E+00
670,0.19973E-01,0.16529E+00
680,0.20056E-01,0.16232E+00
690,0.20144E-01,0.15937E+00
700,0.20191E-01,0.15906E+00
710,0.20291E-01,0.15654E+00
720,0.20394E-01,0.15451E+00
730,0.20443E-01,0.15434E+00
740,0.20530E-01,0.15285E+00
750,0.20588E-01,0.15179E+00
760,0.20626E-01,0.15175E+00
770,0.20641E-01,0.15115E+00
780,0.20620E-01,0.15092E+00
790,0.20635E-01,0.15091E+00
800,0.20574E-01,0.15092E+00
810,0.20478E-01,0.15099E+00
820,0.20474E-01,0.15099E+00
830,0.20346E-01,0.15099E+00
840,0.20194E-01,0.15087E+00
850,0.20178E-01,0.15084E+00
860,0.20014E-01,0.15063E+00
870,0.19837E-01,0.15030E+00
880,0.19819E-01,0.15025E+00
890,0.19648E-01,0.14981E+00
900,0.19486E-01,0.14933E+00
910,0.19470E-01,0.14931E+00
920,0.19330E-01,0.14883E+00
930,0.19204E-01,0.14850E+00
940,0.19195E-01,0.14850E+00
950,0.19091E-01,0.14834E+00
960,0.18997E-01,0.14845E+00
970,0.18991E-01,0.14851E+00
980,0.18909E-01,0.14891E+00
990,0.18834E-01,0.14960E+00
1000,0.18831E-01,0.14972E+00
1010,0.18763E-01,0.15067E+00
1020,0.24965E-01,0.15613E+00
1030,0.24960E-01,0.15683E+00
1040,0.29384E-01,0.16074E+00
1050,0.31221E-01,0.16304E+00
1060,0.31539E-01,0.16343E+00
1070,0.31271E-01,0.16466E+00
